path edges,path latency,path latency relative,received data,cum received data,path throughput,hop count,path efficiency,path user ratio,switch count,mission data transfer,mission data transfer time
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837410333221887,0.8974712196509103,10073672435.410019,10073672435.410019,2014734487.0820038,1,0.8974712196509103,1.0,0,21,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837397155000158,0.8974718440358568,10073672448.566748,20147344883.97677,2014734489.7133496,1,0.8974718440358569,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837432252229024,0.8974703332462061,10073672412.741983,30221017296.71875,2014734482.5483966,1,0.8974703332462061,1.0,,,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983738214807155,0.8974727392175779,10073672462.59819,40294689759.31694,2014734492.519638,1,0.8974727392175778,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983742911373476,0.8974707973719322,10073672414.23891,50368362173.555855,2014734482.8477821,1,0.8974707973719322,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983743967253442,0.8974705596937549,10073672402.32964,60442034575.88549,2014734480.4659278,1,0.8974705596937548,1.0,,,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983745257390758,0.8974702691104927,10073672387.773958,70515706963.65944,2014734477.5547917,1,0.8974702691104925,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837467816184465,0.8974699255962533,10073672370.572203,80589379334.23164,2014734474.1144404,1,0.8974699255962533,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.0198374853975681,0.8974695291279883,10073672350.724857,90663051684.9565,2014734470.1449714,1,0.8974695291279884,1.0,,,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837505316134187,0.8974690796854969,10073672328.232555,100736724013.18906,2014734465.646511,1,0.8974690796854969,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837527569831065,0.8974685772514293,10073672303.096062,110810396316.28511,2014734460.6192124,1,0.8974685772514295,1.0,,,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837552156479567,0.8974680218112909,10073672275.316294,120884068591.60141,2014734455.0632586,1,0.8974680218112909,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837579073772975,0.897467413353445,10073672244.894304,130957740836.49573,2014734448.9788609,1,0.8974674133534452,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837608319276973,0.8974667518691163,10073672211.831293,141031413048.327,2014734442.3662586,1,0.8974667518691164,1.0,,,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983763989042954,0.8974660373523947,10073672176.128601,151105085224.4556,2014734435.2257202,1,0.8974660373523948,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019837673784540946,0.8974652698002358,10073672137.787706,161178757362.24332,2014734427.5575414,1,0.8974652698002357,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983770999879375,0.8974644492124648,10073672096.810238,171252429459.05356,2014734419.3620477,1,0.8974644492124647,1.0,,,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.0198377485302427,0.8974635755917787,10073672053.197954,181326101512.25153,2014734410.6395907,1,0.8974635755917787,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983778937581477,0.8974626489437476,10073672006.95277,191399773519.20428,2014734401.390554,1,0.8974626489437477,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983783253230916,0.8974616692768173,10073671958.076723,201473445477.281,2014734391.6153445,1,0.8974616692768174,1.0,,,245.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983787799639731,0.897460636602308,10073671906.572004,211547117383.853,2014734381.314401,1,0.897460636602308,1.0,,,250.0
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.0198379257646229,0.8974595509344198,10073671852.440943,221620789236.29395,2014734370.4881885,1,0.89745955093442,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983797583340189,0.8974584122902308,10073671795.686003,231694461031.97995,2014734359.1372006,1,0.8974584122902307,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983802819902259,0.8974572206896975,10073671736.30979,241768132768.28976,2014734347.261958,1,0.8974572206896975,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838082857645656,0.8974559761556569,10073671674.315054,251841804442.6048,2014734334.863011,1,0.8974559761556569,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838139805304206,0.8974546787138254,10073671609.70468,261915476052.30948,2014734321.9409359,1,0.8974546787138253,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838199037903886,0.8974533283928001,10073671542.481686,271989147594.7912,2014734308.4963372,1,0.8974533283928002,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838260551222925,0.8974519252240579,10073671472.649239,282062819067.4404,2014734294.5298476,1,0.8974519252240578,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838324340912268,0.8974504692419537,10073671400.210636,292136490467.651,2014734280.0421271,1,0.8974504692419538,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838390402495645,0.8974489604837221,10073671325.169313,302210161792.8204,2014734265.0338626,1,0.8974489604837222,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983845873136975,0.897447398989474,10073671247.528849,312283833040.3492,2014734249.5057697,1,0.897447398989474,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838529322804284,0.8974457848021974,10073671167.292948,322357504207.64215,2014734233.4585896,1,0.8974457848021974,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983860217194216,0.8974441179677553,10073671084.465458,332431175292.1076,2014734216.8930917,1,0.8974441179677554,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983867727379963,0.8974423985348833,10073670999.050362,342504846291.15796,2014734199.8100724,1,0.8974423985348832,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838754623266466,0.8974406265551866,10073670911.051777,352578517202.2097,2014734182.2103553,1,0.8974406265551867,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838834215106085,0.8974388020831426,10073670820.473957,362652188022.68365,2014734164.0947914,1,0.8974388020831426,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019838916043955775,0.8974369251760922,10073670727.321287,372725858750.00494,2014734145.4642575,1,0.8974369251760921,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983900010432685,0.8974349958942421,10073670631.59829,382799529381.6032,2014734126.3196578,1,0.8974349958942421,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019839086390604905,0.8974330143006586,10073670533.309618,392873199914.91284,2014734106.6619236,1,0.8974330143006585,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983917489704997,0.8974309804612662,10073670432.460058,402946870347.37286,2014734086.4920115,1,0.8974309804612661,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983926561779678,0.8974288944448445,10073670329.05453,413020540676.42737,2014734065.810906,1,0.8974288944448443,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019839358546854986,0.8974267563230215,10073670223.098083,423094210899.52545,2014734044.6196167,1,0.8974267563230216,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01983945367810941,0.8974245661702744,10073670114.595901,433167881014.1214,2014734022.9191804,1,0.8974245661702746,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019839551005320286,0.8974223240639225,10073670003.553303,443241551017.6747,2014734000.7106605,1,0.8974223240639224,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019839650522123557,0.8974200300841226,10073669889.975721,453315220907.6504,2014733977.9951444,1,0.8974200300841227,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019839752222031125,0.8974176843138665,10073669773.868738,463388890681.51917,2014733954.7737477,1,0.8974176843138664,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019839856098431145,0.8974152868389739,10073669655.238054,473462560336.7572,2014733931.0476108,1,0.8974152868389739,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019839962144588337,0.8974128377480881,10073669534.089499,483536229870.84674,2014733906.8178997,1,0.8974128377480881,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019840070353644268,0.8974103371326728,10073669410.429033,493609899281.27576,2014733882.0858066,1,0.8974103371326727,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.0198401807186177,0.8974077850870023,10073669284.262741,503683568565.5386,2014733856.8525481,1,0.8974077850870024,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019840293232404896,0.8974051817081596,10073669155.596836,513757237721.1354,2014733831.1193671,1,0.8974051817081596,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019840407887779982,0.8974025270960292,10073669024.43766,523830906745.573,2014733804.887532,1,0.8974025270960291,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019840524677395284,0.8973998213532896,10073668890.791676,533904575636.3647,2014733778.1583352,1,0.8973998213532897,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019840643593781685,0.8973970645854078,10073668754.665472,543978244391.03015,2014733750.9330945,1,0.8973970645854078,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019840764629349007,0.897394256900633,10073668616.065765,554051913007.0958,2014733723.2131531,1,0.8973942569006329,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019840887776386387,0.8973913984099894,10073668474.99939,564125581482.0952,2014733694.999878,1,0.8973913984099893,1.0,,,
